ensembl	HUGO	ID
ENSG00000240385	RPS29P20	31803
ENSG00000166441	RPL27A	32044
ENSG00000240454	RPL39P26	32161
ENSG00000110700	RPS13	32209
ENSG00000240298	RPL36AP40	32348
ENSG00000240554	RPL7AP58	32400
ENSG00000241950	RPL29P23	32456
ENSG00000242834	RPL7AP56	32531
ENSG00000244267	RPL34P22	32597
ENSG00000242208	RPL5P29	32878
ENSG00000240371	RPS4XP13	32950
ENSG00000243742	RPLP0P2	33132
ENSG00000239924	RPL29P22	33231
ENSG00000162302	RPS6KA4	33293
ENSG00000175634	RPS6KB2	33496
ENSG00000239559	RPL37P2	33519
ENSG00000243672	RPS3AP40	33532
ENSG00000239481	RPS3AP41	33638
ENSG00000244134	RPS12P20	33694
ENSG00000149273	RPS3	33785
ENSG00000227097	RPS28P7	33908
ENSG00000242248	RPL7AP57	34101
ENSG00000244244	RPS3AP42	34106
ENSG00000242807	RPL26P31	34112
ENSG00000240698	RPS2P39	34349
ENSG00000239354	RPS17P15	34376
ENSG00000176343	RPL37AP8	34404
ENSG00000243930	RPS12P21	34428
ENSG00000243250	RPS6P16	34430
ENSG00000213233	RPL23AP62	34438
ENSG00000243431	RPL5P30	34577
ENSG00000240970	RPL23AP64	34603
ENSG00000118181	RPS25	34606
ENSG00000244400	RPS4XP12	34670
ENSG00000243669	RPL34P23	34698
ENSG00000244641	RPS26P43	34699
ENSG00000233541	RPL31P47	34700
ENSG00000243607	RPL35AP26	34837
ENSG00000240121	RPS27P20	34884
ENSG00000244451	RPL34P21	34896
ENSG00000225251	RPL5P25	35175
ENSG00000226016	RPL36AP55	35418
ENSG00000234335	RPS4XP11	35495
ENSG00000233190	RPS24P13	35500
ENSG00000226407	RPL23P11	35529
ENSG00000226646	RPL7P37	35557
ENSG00000264217	RPL35AP25	35734
ENSG00000233900	RPL17P35	35972
ENSG00000219932	RPL12P8	35999
ENSG00000230469	RPL5P26	36061
ENSG00000213700	RPL17P50	36129
ENSG00000214629	RPSAP6	36193
ENSG00000227271	RPL39P25	36213
ENSG00000138326	RPS24	36260
ENSG00000232965	RPS12P18	36279
ENSG00000230171	RPL22P18	36310
ENSG00000234319	RPS12P2	36315
ENSG00000233353	RPS7P9	36329
ENSG00000233189	RPL12P29	36359
ENSG00000178429	RPS3AP5	36362
ENSG00000230507	RPL7AP8	36383
ENSG00000237205	RPL7P34	36436
ENSG00000223876	RPS27P1	36497
ENSG00000236552	RPL13AP5	36613
ENSG00000234109	RPL7P36	36664
ENSG00000233518	RPL7P35	36873
ENSG00000234118	RPL13AP6	36887
ENSG00000228195	RPL5P27	36962
ENSG00000223540	RPS15AP5	37046
